mol_id,smiles,absorption_energy,emission_energy
ELOZZ1M,CN1C=CN2C1=[Ir]13(=C4N(C)C=CN4c4cc(C(F)(F)F)cc2c41)n1nc(C(F)(F)F)cc1-c1cccc(-c2ccc(F)cc2)[n+]13,3.092269326683292,2.6552462526766596
ELOZZ1P,CC(C)N1C=CN2C1=[Ir]13(=C4N(C=CN4C(C)C)c4cc(C(F)(F)F)cc2c41)n1nc(C(F)(F)F)cc1-c1cccc(-c2ccc(F)cc2)[n+]13,3.076923076923077,2.6495726495726495
ELOZAI,CN1C=CN2C1=[Ir]13(=C4N(C)C=CN4c4cc(C(F)(F)F)cc2c41)n1nc(C(F)(F)F)cc1-c1cccc(-c2ccc(C(F)(F)F)cc2)[n+]13,3.0097087378640777,2.5306122448979593
ELOZZ2P,CC(C)N1C=CN2C1=[Ir]13(=C4N(C=CN4C(C)C)c4cc(C(F)(F)F)cc2c41)n1nc(C(F)(F)F)cc1-c1cccc(-c2ccc(C(F)(F)F)cc2)[n+]13,2.973621103117506,2.5203252032520327
ELOZZ3M,CN1C=CN2C1=[Ir]13(=C4N(C)C=CN4c4cc(C(C)(C)C)cc2c41)n1nc(C(F)(F)F)cc1-c1cccc(-c2ccc(C(F)(F)F)cc2)[n+]13,2.9665071770334928,2.475049900199601
ELOYIP,CC(C)N1C=CN2C1=[Ir]13(=C4N(C=CN4C(C)C)c4cc(C(C)(C)C)cc2c41)n1nc(C(F)(F)F)cc1-c1cccc(-c2ccc(C(F)(F)F)cc2)[n+]13,2.9523809523809526,2.4652087475149105
ELOZZ4M,CN1C=CN2C1=[Ir]13(=C4N(C)C=CN4c4cc(C(C)(C)C)cc2c41)n1nc(C(F)(F)F)cc1-c1c2ccccc2cc(-c2ccccc2)[n+]13,2.719298245614035,2.09106239460371
ELOZZ4P,CC(C)N1C=CN2C1=[Ir]13(=C4N(C=CN4C(C)C)c4cc(C(C)(C)C)cc2c41)n1nc(C(F)(F)F)cc1-c1c2ccccc2cc(-c2ccccc2)[n+]13,2.701525054466231,2.0840336134453783
UYOZZ01,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(F)(F)F)cc2c51)c1cc(F)ccc1Oc1cccc([n+]13)-c1cc(C(F)(F)F)nn14,2.9665071770334928,2.7740492170022373
UYOZZ02,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(F)ccc1Oc1cccc([n+]13)-c1cc(C(F)(F)F)nn14,2.9523809523809526,2.7927927927927927
UYOZZ03,CN1C2=[Ir]345(=C6N(C)c7ccccc7N6c6cc(C(F)(F)F)cc(c63)N2c2ccccc21)c1cc(F)ccc1Oc1cccc([n+]14)-c1cc(C(F)(F)F)nn15,3.0693069306930694,2.7740492170022373
UYOKUR,CN1C2=[Ir]345(=C6N(C)c7ccccc7N6c6cc(C(C)(C)C)cc(c63)N2c2ccccc21)c1cc(F)ccc1Oc1cccc([n+]14)-c1cc(C(F)(F)F)nn15,2.9594272076372317,2.767857142857143
UYOZZ05,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(F)ccc1Oc1cc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.0097087378640777,2.767857142857143
SOYNOM,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(F)ccc1-c1nc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,2.980769230769231,2.450592885375494
SOYZZ03,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(F)(F)F)cc2c51)c1cc(F)ccc1-c1nc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.1472081218274113,2.683982683982684
SOYZZ04,CCCCN1C=CN2C1=[Ir]134(=C5N(CCCC)C=CN5c5cc(C(F)(F)F)cc2c51)c1cc(F)ccc1-c1nc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.1392405063291138,2.6666666666666665
SOYNIG,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(F)ccc1-c1cc(C(C)(C)C)nc([n+]13)-c1cc(C(F)(F)F)nn14,3.1713554987212276,2.407766990291262
